store_id,city,campaign_id,total_revenue,total_units_sold,baseline_revenue,incremental_revenue,city_rank,prev_store_revenue,prev_store_units,revenue_growth,unit_growth
STCBE-0,Coimbatore,CAMP_DIW_01,20821836,23667,10658487,10163349,2,21024514,20594,-0.0096,0.1492
STCBE-2,Coimbatore,CAMP_DIW_01,18584993,21651,8218861,10366132,3,20821836,23667,-0.1074,-0.0852
STCBE-4,Coimbatore,CAMP_DIW_01,18062415,20349,10410092,7652323,4,18584993,21651,-0.0281,-0.0601
STCBE-3,Coimbatore,CAMP_DIW_01,16678165,21539,8834196,7843969,5,18062415,20349,-0.0766,0.0585
STCBE-2,Coimbatore,CAMP_SAN_01,12889002,38094,7820876,5068126,6,16678165,21539,-0.2272,0.7686
STCBE-0,Coimbatore,CAMP_SAN_01,12687633,36932,8104362,4583271,7,12889002,38094,-0.0156,-0.0305
STCBE-3,Coimbatore,CAMP_SAN_01,11039980,32102,6819309,4220671,8,12687633,36932,-0.1299,-0.1308
STCBE-1,Coimbatore,CAMP_SAN_01,10453170,31528,6920984,3532186,9,11039980,32102,-0.0532,-0.0179
STCBE-4,Coimbatore,CAMP_SAN_01,8581356,25844,7276423,1304933,10,10453170,31528,-0.1791,-0.1803
STHYD-0,Hyderabad,CAMP_DIW_01,27009689,31220,13622378,13387311,1,NULL,NULL,NULL,NULL
STHYD-2,Hyderabad,CAMP_DIW_01,26136635,29862,13822704,12313931,2,27009689,31220,-0.0323,-0.0435
STHYD-6,Hyderabad,CAMP_DIW_01,24924032,29071,13246401,11677631,3,26136635,29862,-0.0464,-0.0265
STHYD-3,Hyderabad,CAMP_DIW_01,24460226,29904,14048734,10411492,4,24924032,29071,-0.0186,0.0287
STHYD-5,Hyderabad,CAMP_DIW_01,24052014,30422,12912648,11139366,5,24460226,29904,-0.0167,0.0173
STHYD-4,Hyderabad,CAMP_DIW_01,22622544,29589,12273268,10349276,6,24052014,30422,-0.0594,-0.0274
STHYD-1,Hyderabad,CAMP_DIW_01,21630959,26446,12825589,8805370,7,22622544,29589,-0.0438,-0.1062
STHYD-2,Hyderabad,CAMP_SAN_01,15043525,45892,9795870,5247655,8,21630959,26446,-0.3045,0.7353
STHYD-6,Hyderabad,CAMP_SAN_01,14660303,43176,9210957,5449346,9,15043525,45892,-0.0255,-0.0592
STHYD-0,Hyderabad,CAMP_SAN_01,14639177,42434,9336488,5302689,10,14660303,43176,-0.0014,-0.0172
STMDU-0,Madurai,CAMP_DIW_01,25554781,24815,11572708,13982073,1,NULL,NULL,NULL,NULL
STMDU-1,Madurai,CAMP_DIW_01,21441238,22862,10852030,10589208,2,25554781,24815,-0.1610,-0.0787
STMDU-3,Madurai,CAMP_DIW_01,21402801,21497,10736390,10666411,3,21441238,22862,-0.0018,-0.0597
STMDU-2,Madurai,CAMP_DIW_01,20826106,20867,10565261,10260845,4,21402801,21497,-0.0269,-0.0293
STMDU-0,Madurai,CAMP_SAN_01,13001786,33355,7177030,5824756,5,20826106,20867,-0.3757,0.5985
STMDU-3,Madurai,CAMP_SAN_01,12115789,32081,8132761,3983028,6,13001786,33355,-0.0681,-0.0382
STMDU-2,Madurai,CAMP_SAN_01,11032147,32928,7118034,3914113,7,12115789,32081,-0.0894,0.0264
STMDU-1,Madurai,CAMP_SAN_01,9723448,29778,6166650,3556798,8,11032147,32928,-0.1186,-0.0957
STMLR-2,Mangalore,CAMP_DIW_01,14134974,14966,7309470,6825504,1,NULL,NULL,NULL,NULL
STMLR-1,Mangalore,CAMP_DIW_01,13448365,15057,6991537,6456828,2,14134974,14966,-0.0486,0.0061
STMLR-0,Mangalore,CAMP_DIW_01,11520859,14189,6822214,4698645,3,13448365,15057,-0.1433,-0.0576
STMLR-2,Mangalore,CAMP_SAN_01,7320908,21805,4994220,2326688,4,11520859,14189,-0.3646,0.5368
STMLR-1,Mangalore,CAMP_SAN_01,6971979,21252,4532213,2439766,5,7320908,21805,-0.0477,-0.0254
STMLR-0,Mangalore,CAMP_SAN_01,5384316,17234,4594058,790258,6,6971979,21252,-0.2277,-0.1891
STMYS-1,Mysuru,CAMP_DIW_01,32258352,33453,14484141,17774211,1,NULL,NULL,NULL,NULL
STMYS-3,Mysuru,CAMP_DIW_01,30592394,30429,13746096,16846298,2,32258352,33453,-0.0516,-0.0904
STMYS-2,Mysuru,CAMP_DIW_01,26927089,28910,14911981,12015108,3,30592394,30429,-0.1198,-0.0499
STMYS-1,Mysuru,CAMP_SAN_01,17952249,48958,10290840,7661409,4,26927089,28910,-0.3333,0.6935
STMYS-0,Mysuru,CAMP_DIW_01,17335080,24801,11037663,6297417,5,17952249,48958,-0.0344,-0.4934
STMYS-3,Mysuru,CAMP_SAN_01,15508010,38402,8815163,6692847,6,17335080,24801,-0.1054,0.5484
STMYS-2,Mysuru,CAMP_SAN_01,10355555,27265,8637160,1718395,7,15508010,38402,-0.3322,-0.2900
STMYS-0,Mysuru,CAMP_SAN_01,10184118,30072,8700965,1483153,8,10355555,27265,-0.0166,0.1030
STTRV-0,Trivandrum,CAMP_DIW_01,12521796,15260,6791071,5730725,1,NULL,NULL,NULL,NULL
STTRV-1,Trivandrum,CAMP_DIW_01,11794944,14504,6204527,5590417,2,12521796,15260,-0.0580,-0.0495
STTRV-0,Trivandrum,CAMP_SAN_01,7793786,21091,4994171,2799615,3,11794944,14504,-0.3392,0.4542
STTRV-1,Trivandrum,CAMP_SAN_01,6759382,20335,4422733,2336649,4,7793786,21091,-0.1327,-0.0358
STVJD-1,Vijayawada,CAMP_DIW_01,14896868,16184,7543935,7352933,1,NULL,NULL,NULL,NULL
STVJD-0,Vijayawada,CAMP_DIW_01,14768579,16744,7481257,7287322,2,14896868,16184,-0.0086,0.0346
STVJD-0,Vijayawada,CAMP_SAN_01,7892563,23513,5111988,2780575,3,14768579,16744,-0.4656,0.4043
STVJD-1,Vijayawada,CAMP_SAN_01,7542591,21301,4978379,2564212,4,7892563,23513,-0.0443,-0.0941
STVSK-1,Visakhapatnam,CAMP_DIW_01,19017383,21546,10061429,8955954,1,NULL,NULL,NULL,NULL
STVSK-0,Visakhapatnam,CAMP_DIW_01,17553466,21035,9090319,8463147,2,19017383,21546,-0.0770,-0.0237
STVSK-4,Visakhapatnam,CAMP_DIW_01,17047772,20356,10155439,6892333,3,17553466,21035,-0.0288,-0.0323
STVSK-3,Visakhapatnam,CAMP_DIW_01,15525314,18592,9334248,6191066,4,17047772,20356,-0.0893,-0.0867
STVSK-2,Visakhapatnam,CAMP_DIW_01,14199822,20020,7790741,6409081,5,15525314,18592,-0.0854,0.0768
STVSK-2,Visakhapatnam,CAMP_SAN_01,10818934,30758,6785345,4033589,6,14199822,20020,-0.2381,0.5364
STVSK-1,Visakhapatnam,CAMP_SAN_01,10332238,31752,6920921,3411317,7,10818934,30758,-0.0450,0.0323
STVSK-0,Visakhapatnam,CAMP_SAN_01,10221897,31654,6608560,3613337,8,10332238,31752,-0.0107,-0.0031
STVSK-4,Visakhapatnam,CAMP_SAN_01,8076467,21455,6720812,1355655,9,10221897,31654,-0.2099,-0.3222
STVSK-3,Visakhapatnam,CAMP_SAN_01,7908859,20244,6713280,1195579,10,8076467,21455,-0.0208,-0.0564
